thôn nà lo|thon na lo
thôn pác đá|thon pac da
thôn pác toong|thon pac toong
thôn bản bây|thon ban bay
thôn bản liên|thon ban lien
thôn che ngù|thon che ngu
thôn nà huống|thon na huong
thôn nà khuốt|thon na khuot
thôn nà mền|thon na men
thôn nà mòn|thon na mon
thôn nà nhàm|thon na nham
vườn ươm|vuon uom
thôn đon cọt|thon don cot
thôn khôn tắng|thon khon tang
thôn khuổi tải|thon khuoi tai
thôn nà mố|thon na mo
thôn tài chang|thon tai chang
thôn thôm bó|thon thom bo
thôn thôm thoi|thon thom thoi
thôn bản phố|thon ban pho
thôn chộc toòng|chôộc toòng|thon choc toong|chooc toong
thôn công tum|thon cong tum
thôn hua phai|thon hua phai
thôn khau lồm|thon khau lom
thôn nà nguộc|thon na nguoc
thôn phiêng câm|phjêng câm|thon phieng cam|phjeng cam
thôn tân minh|thon tan minh
thôn tổng slâu|thon tong slau
thôn giác|thon giac
thôn hòa mục|thon hoa muc
thôn khuổi nhang|thon khuoi nhang
thôn mỏ khang|thon mo khang
thôn nà tôm|thon na tom
thôn bản ruộc|thon ban ruoc
thôn khau mu|thon khau mu
thôn khau ràng|thon khau rang
thôn phiêng van|phjêng van|thon phieng van|phjeng van
thôn thố hào|thon tho hao
thôn bản cầy|thon ban cay
thôn bản quất|thon ban quat
thôn bản tết|thon ban tet
thôn cao thánh|thon cao thanh
thôn khe thỉ 1|thon khe thi 1
thôn có làng|thon co lang
thôn nà khám|thon na kham
thôn nà rẫy|thon na ray
thôn phiêng khảo|thon phieng khao
thôn bản tám|thon ban tam
thôn đon nhậu|thon don nhau
thôn đon qui|thon don qui
thôn nà hoáng|thon na hoang
thôn nà hoạt|thon na hoat
thôn nà lín|thon na lin
thôn nà pạn|thon na pan
thôn nà riền|thon na rien
thôn hin chiêng|thon hin chieng
thôn nà coóc|thon na cooc
thôn nà khon|thon na khon
thôn nặm bó|thon nam bo
thôn pác slan|thon pac slan
thôn suối hón|thon suoi hon
thôn tát kheo|thon tat kheo
thôn tổng tàng|thon tong tang
thôn bản vọt|thon ban vot
thôn chang|thon chang
thôn tân khang|thon tan khang
thôn bản pá|thon ban pa
thôn bản rả|thon ban ra
thôn nà chán|thon na chan
thôn nà điếng|thon na dieng
thôn nà hắm|thon na ham
thôn nà tổng|thon na tong
thôn nà tuống|thon na tuong
thôn pác cốp|thon pac cop
thôn pác rả|thon pac ra
thôn khôn bang|thon khon bang
thôn khôn tèng|thon khon teng
thôn khuổi chủ|thon khuoi chu
thôn khuổi hóp|thon khuoi hop
thôn nà chào|thon na chao
thôn nà luống|thon na luong
thôn nà roòng|thon na roong
thôn nà tào|thon na tao
thôn khe thỉ 2|thon khe thi 2
thôn khe thuổng|thon khe thuong
thôn leo dài|thon leo dai
thôn nà bia|thon na bia
